STT,Timestamp,TransactionID,AccountID,Amount,Merchant,TransactionType,Location
1,2026-01-01 08:15,TX001,ACC001,2500,Amazon,Payment,Hanoi
2,2026-01-01 09:20,TX002,ACC002,3200,Shopee,Payment,HCM
3,2026-01-01 10:05,TX003,ACC003,1800,Lazada,Payment,Danang
4,2026-01-01 11:30,TX004,ACC001,2750,Grab,Transfer,Hanoi
5,2026-01-01 12:10,TX005,ACC004,3500,Tiki,Payment,CanTho
6,2026-01-01 13:45,TX006,ACC002,4100,Amazon,Transfer,HCM
7,2026-01-01 14:20,TX007,ACC005,2900,Shopee,Payment,Haiphong
8,2026-01-01 15:00,TX008,ACC003,3300,Grab,Transfer,Danang
9,2026-01-01 16:30,TX009,ACC006,2700,Tiki,Payment,Hanoi
10,2026-01-01 17:10,TX010,ACC004,3900,Lazada,Transfer,HCM
11,2026-01-01 18:00,TX011,ACC007,3000,Amazon,Payment,Danang
12,2026-01-01 19:15,TX012,ACC008,2800,Shopee,Payment,CanTho
13,2026-01-01 20:30,TX013,ACC009,2600,Grab,Transfer,Hanoi
14,2026-01-01 21:00,TX014,ACC010,3100,Tiki,Payment,HCM
15,2026-01-01 22:10,TX015,ACC001,2950,Lazada,Transfer,Haiphong
16,2026-01-02 08:20,TX016,ACC002,3400,Amazon,Payment,Hanoi
17,2026-01-02 09:40,TX017,ACC003,2200,Shopee,Payment,HCM
18,2026-01-02 10:15,TX018,ACC004,3600,Grab,Transfer,Danang
19,2026-01-02 11:50,TX019,ACC005,2800,Tiki,Payment,CanTho
20,2026-01-02 12:30,TX020,ACC006,450000,Unknown,Transfer,Unknown
